Site ID,Which folder?,Shared sites,Location description,Borough,Functional area for monitoring,Road type,Is it on the strategic CIO panel?,Easting (UK Grid),Northing (UK Grid),Latitude,Longitude
CENCY032,Strategic counts,0,Borough High Street,Southwark,Central,A Road,1,532579.63,180056.66,51.503896,-0.09119671
CENCY033,Strategic counts,0,Bermondsey Street,Southwark,Central,A Road,1,533261.75,179628.74,51.499889,-0.081537913
CENCY034,Strategic counts,0,London Road,Southwark,Central,A Road,1,531829.05,179236.27,51.496702,-0.10230243
CENCY035,Strategic counts,0,Southwark Street,Southwark,Central,A Road,1,531721.16,180348.33,51.50672,-0.1034425
CENCY036,Strategic counts,0,Lambeth Road (west of St. George's Road),Southwark,Central,A Road,1,531346.01,179259.15,51.497021,-0.10924775
CENCY037,Strategic counts,CGRCY156,Borough Road,Southwark,Central,A Road,1,531859,179485,51.498933,-0.10177755
CENCY038,Strategic counts,0,Minories,City of London,Central,A Road,1,533678.42,180836.05,51.510646,-0.075076507
CENCY039,Strategic counts,0,Gracechurch Street,City of London,Central,A Road,1,532949.2,180894.99,51.511339,-0.08555331
CENCY040,Strategic counts,CSHCY120,Blackfriars Road,Southwark,Central,A Road,1,531652.69,179548.54,51.499547,-0.10473443
CENCY041,Strategic counts,0,Newgate Street,City of London,Central,A Road,1,531826.01,181393.34,51.516086,-0.10154009
CENCY042,Strategic counts,0,High Holborn,Camden,Central,A Road,1,530921.04,181605.18,51.518202,-0.11449649
CENCY043,Strategic counts,0,Holborn,City of London,Central,A Road,1,531279.1,181577.28,51.517867,-0.10935026
CENCY044,Strategic counts,CSHCY123,New Bridge Street,City of London,Central,A Road,1,531647.29,181040,51.512956,-0.10424999
CENCY045,Strategic counts,0,Strand (east),Westminster,Central,A Road,1,531108.76,181105.66,51.513665,-0.11198874
CENCY046,Strategic counts,0,Rosebery Avenue (south),Camden,Central,A Road,1,531103.11,182127.6,51.522851,-0.11168092
CENCY047,Strategic counts,CGRCY081,Clerkenwell Road (west),Camden,Central,A Road,1,531287.86,182040.79,51.522026,-0.10906269
CENCY048,Strategic counts,0,Moorgate,City of London,Central,A Road,1,532763.59,181740.07,51.518986,-0.087913677
CENCY049,Strategic counts,CSHCY124,Farringdon Street,City of London,Central,A Road,1,531595.27,181401,51.516212,-0.10486427
CENCY050,Strategic counts,CGRCY112,Aldgate High Street,City of London,Central,A Road,1,533641.021,181204.45,51.513962,-0.075469987
CENCY051,Strategic counts,0,Strand (west),Westminster,Central,A Road,1,530864.74,180976.07,51.512563,-0.11555083
CENCY052,Strategic counts,CGRCY061,Theobald's Road,Camden,Central,A Road,1,530715.25,181853.88,51.520478,-0.11737183
CENCY053,Strategic counts,0,City Road,Islington,Central,A Road,1,532817.05,182064.1,51.521884,-0.087013848
CENCY054,Strategic counts,0,Kingsway,Camden,Central,A Road,1,530584.16,181356.56,51.516042,-0.11944284
CENCY055,Strategic counts,0,Aldwych,Westminster,Central,A Road,1,530666.47,180998.3,51.512806,-0.11839434
CENCY056,Strategic counts,CGRCY054,Bloomsbury Way,Camden,Central,A Road,1,530290.11,181555.03,51.517898,-0.12360397
CENCY057,Strategic counts,0,Southampton Row,Camden,Central,A Road,1,530280.95,181908.5,51.521073,-0.12361763
CENCY058,Strategic counts,CGRCY056,Bloomsbury Street,Camden,Central,A Road,1,529989.12,181571.02,51.518111,-0.12793371
CENCY059,Strategic counts,CGRCY071,Tottenham Court Road (north),Camden,Central,A Road,1,529338.12,182150.96,51.523464,-0.13709854
CENCY060,Strategic counts,CGRCY057,Tottenham Court Road (south),Camden,Central,A Road,1,529695.07,181599.19,51.518431,-0.13215825
CENCY061,Strategic counts,0,Oxford Street (east),Westminster,Central,A Road,1,529487.6,181323.17,51.515998,-0.13525565
CENCY062,Strategic counts,0,Charing Cross Road,Camden,Central,A Road,1,529856.33,181219.33,51.514979,-0.12997903
CENCY063,Strategic counts,0,Regent Street,Westminster,Central,A Road,1,529032.38,181188.51,51.514889,-0.14185867
CENCY064,Strategic counts,0,Wigmore Street,Westminster,Central,A Road,1,528235,181246.74,51.515591,-0.15331705
CENCY065,Strategic counts,0,Mortimer Street,Westminster,Central,A Road,1,529379.34,181655.07,51.519006,-0.13668948
CENCY066,Strategic counts,CSHCY136,Farringdon Road (near station),Camden,Central,A Road,1,531519.94,181820.84,51.519995,-0.10580271
CENCY067,Strategic counts,0,Fetter Lane,City of London,Central,A Road,1,531298.71,181348.12,51.515805,-0.10916181
CENCY068,Strategic counts,0,Rosebery Avenue (north),Islington,Central,A Road,1,531420.5,182750.22,51.528376,-0.10688217
CENCY069,Strategic counts,0,Goswell Road (south),Islington,Central,A Road,1,532099.25,182024.88,51.521693,-0.097371684
CENCY071,Strategic counts,CSHCY095,Portland Place,Westminster,Central,A Road,1,528827.266,181673.546,51.519294,-0.14463423
CENCY072,Strategic counts,0,Shaftesbury Avenue,Westminster,Central,A Road,1,529743.98,180896.69,51.512102,-0.13172536
CENCY073,Strategic counts,0,Tavistock Square (A4200),Camden,Central,A Road,1,529947.7,182335.81,51.524987,-0.12825719
CENCY074,Strategic counts,0,Grays Inn Road (north),Camden,Central,A Road,1,530737.94,182378.03,51.525191,-0.1168603
CENCY075,Strategic counts,0,Oxford Street (west),Westminster,Central,A Road,1,528461.71,181105.47,51.514273,-0.15011318
CENCY076,Strategic counts,CGRCY123,Gloucester Place,Westminster,Central,A Road,1,527880.43,181587,51.518736,-0.15830672
CENCY077,Strategic counts,0,Baker Street,Westminster,Central,A Road,1,528045.52,181576.23,51.5186,-0.15593396
CENCY078,Strategic counts,0,Piccadilly,Westminster,Central,A Road,1,528958.05,180258.67,51.506548,-0.14326434
CENCY079,Strategic counts,0,York Road,Lambeth,Central,A Road,1,530860.54,179908.61,51.502966,-0.11600439
CENCY080,Strategic counts,0,Stamford Street,Lambeth,Central,A Road,1,531233.04,180260.56,51.506043,-0.11050262
CENCY081,Strategic counts,0,Great Dover Street,Southwark,Central,A Road,1,532640.92,179428.82,51.498238,-0.090554252
CENCY082,Strategic counts,0,Long Lane,Southwark,Central,A Road,1,533017.42,179511.99,51.498895,-0.085095111
CENCY083,Strategic counts,0,Borough High Street,Southwark,Central,A Road,1,532402.4,179706.81,51.500792,-0.093876653
CENCY084,Strategic counts,0,Southwark Street,Southwark,Central,A Road,1,532475.99,180142.26,51.504693,-0.092661975
CENCY085,Strategic counts,0,Newington Causeway,Southwark,Central,A Road,1,532069.6,179338.04,51.497563,-0.098808966
CENCY086,Strategic counts,CSHCY115,Upper Thames Street (west of Southwark Bridge),City of London,Central,A Road,1,532298.77,180850.73,51.511097,-0.094945341
CENCY087,Strategic counts,CSHCY117,Lower Thames Street,City of London,Central,A Road,1,533109.73,180659.21,51.50919,-0.083337679
CENCY088,Strategic counts,CGRCY098,Clerkenwell Road (east),Islington,Central,A Road,1,531813.02,182118.42,51.522605,-0.1014564
CENCY089,Strategic counts,CGRCY099,Old Street,Islington,Central,A Road,1,532385.23,182387.01,51.524888,-0.093115578
CENCY090,Strategic counts,0,Goswell Road (north),Islington,Central,A Road,1,531958.55,182330.7,51.524476,-0.099288296
CENCY091,Strategic counts,0,London Wall (west),City of London,Central,A Road,1,532500.16,181570.43,51.51752,-0.091765821
CENCY092,Strategic counts,0,London Wall (east),City of London,Central,A Road,1,532990.74,181479.02,51.516587,-0.084742345
CENCY093,Strategic counts,0,Grays Inn Road (south),Camden,Central,A Road,1,531069.26,181801.3,51.519929,-0.11229185
CENCY094,Strategic counts,0,Houndsditch,City of London,Central,A Road,1,533438.22,181325.15,51.515097,-0.07834792
CENCY095,Strategic counts,0,Bevis Marks,City of London,Central,A Road,1,533374.85,181312.01,51.514996,-0.079274615
CENCY096,Strategic counts,0,King's Cross Road,Camden,Central,A Road,1,530948.46,182543.32,51.526625,-0.11375929
CENCY097,Strategic counts,0,Crucifix Lane (Druid Street),Southwark,Central,A Road,1,533312.25,179870.22,51.502052,-0.080712247
CENCY098,Strategic counts,0,Horseferry Road (east of Tufton Street),Westminster,Central,B Road,1,530073.74,178985.03,51.494853,-0.12767666
CENCY099,Strategic counts,0,The Cut,Lambeth,Central,B Road,1,531469.91,179939.89,51.503103,-0.10722371
CENCY100,Strategic counts,CGRCY100,Bunhill Row,Islington,Central,B Road,1,532590.21,182274.5,51.523825,-0.090204837
CENCY101,Strategic counts,0,St. John Street,Islington,Central,B Road,1,531745.99,182194.74,51.523304,-0.10240758
CENCY102,Strategic counts,CGRCY062,Hunter Street,Camden,Central,B Road,1,530294.15,182373.13,51.525248,-0.12324416
CENCY103,Strategic counts,0,Great Queen Street,Camden,Central,B Road,1,530455.81,181276.66,51.515353,-0.12133047
CENCY104,Strategic counts,CGRCY080 & QWPCY034,Calthorpe Street,Camden,Central,B Road,1,530893.18,182376.64,51.525137,-0.11461366
CENCY105,Strategic counts,CGRCY036,New Bond Street,Westminster,Central,B Road,1,528708.13,181111.47,51.514271,-0.14655342
CENCY106,Strategic counts,0,Great Smith Street (north of Little Smith Street),Westminster,Central,B Road,1,529935.4,179293.85,51.497652,-0.12955012
CENCY107,Strategic counts,CGRCY097,Beech Street,City of London,Central,B Road,1,532303.63,181915.52,51.520666,-0.094473947
CENCY108,Strategic counts,CGRCY058,Montague Place,Camden,Central,B Road,1,529899.4,181766.68,51.519884,-0.12915827
CENCY109,Strategic counts,0,Buckingham Gate,Westminster,Central,B Road,1,529480.89,179336.55,51.498143,-0.13608534
CENCY110,Strategic counts,0,Thayer Street,Westminster,Central,B Road,1,528359.51,181467.21,51.517549,-0.1514506
CENCY111,Strategic counts,0,Eastcheap,City of London,Central,Minor Road,1,533001.37,180826.89,51.510716,-0.084830051
CENCY112,Strategic counts,0,Grosvenor Street,Westminster,Central,Minor Road,1,528713.83,180839.74,51.511825,-0.14658062
CENCY113,Strategic counts,0,Seymour Place,Westminster,Central,Minor Road,1,527510.68,181728.92,51.520087,-0.16358547
CENCY114,Strategic counts,CGRCY064,Regent Square,Camden,Central,Minor Road,1,530407.46,182530,51.526633,-0.12155817
CENCY115,Strategic counts,0,Wimpole Street,Westminster,Central,Minor Road,1,528576.72,181545.82,51.518201,-0.14829646
CENCY116,Strategic counts,0,George Street (east),Westminster,Central,Minor Road,1,527909.57,181396.87,51.517013,-0.15795824
CENCY117,Strategic counts,0,Montague Street,Camden,Central,Minor Road,1,530136.36,181785,51.520001,-0.12573735
CENCY118,Strategic counts,0,Drury Lane,Westminster,Central,Minor Road,1,530451.45,181155.25,51.514267,-0.12143282
CENCY119,Strategic counts,CGRCY063,Torrington Place,Camden,Central,Minor Road,1,529542.56,181972.52,51.521818,-0.13422512
CENCY120,Strategic counts,0,Mabledon Place,Camden,Central,Minor Road,1,529979.15,182681.99,51.528089,-0.12766863
CENCY121,Strategic counts,QWPCY210,Claremont Square,Islington,Central,Minor Road,1,531131.41,183021.96,51.530878,-0.11094506
CENCY122,Strategic counts,0,Leadenhall Street,City of London,Central,Minor Road,1,533128.52,181135.54,51.513463,-0.082884489
CENCY123,Strategic counts,0,Cannon Street,City of London,Central,Minor Road,1,532146.43,181057.61,51.512992,-0.097056881
CENCY124,Strategic counts,0,Central Street,Islington,Central,Minor Road,1,532114.73,182661.45,51.527414,-0.096916949
CENCY125,Strategic counts,0,Charterhouse Street,Islington,Central,Minor Road,1,531754.24,181768.84,51.519473,-0.10243707
CENCY126,Strategic counts,0,Prince's Street,City of London,Central,Minor Road,1,532663.4,181212.27,51.514264,-0.089552642
CENCY127,Strategic counts,CSHCY012,Paul Street,Islington,Central,Minor Road,1,532989,182132.01,51.522455,-0.084510545
CENCY128,Strategic counts,0,Fleet Street,City of London,Central,Minor Road,1,531516.12,181174.88,51.514191,-0.10608676
CENCY129,Strategic counts,0,Golden Lane,Islington,Central,Minor Road,1,532271.43,182136.04,51.52266,-0.094852013
CENCY130,Strategic counts,CGRCY095,Gresham Street,City of London,Central,Minor Road,1,532357.78,181348.43,51.515558,-0.093908838
CENCY131,Strategic counts,CGRCY033,New Cavendish Street,Westminster,Central,Minor Road,1,528730.22,181699.22,51.51955,-0.14602199
CENCY132,Strategic counts,0,South Audley Street,Westminster,Central,Minor Road,1,528411.13,180402.43,51.507966,-0.15108914
CENCY133,Strategic counts,CGRCY167,Old Broad Street,City of London,Central,Minor Road,1,532976.16,181302.24,51.514999,-0.085010706
CENCY134,Strategic counts,CGRCY066,Wardour Street,Westminster,Central,Minor Road,1,529562.78,181078.11,51.513779,-0.13426535
CENCY135,Strategic counts,CGRCY038,Berkeley Street,Westminster,Central,Minor Road,1,529017.27,180356.77,51.507415,-0.14237889
CENCY136,Strategic counts,0,Snow Hill (West Smithfield),City of London,Central,Minor Road,1,531580.52,181571.18,51.517743,-0.10501692
CENCY137,Strategic counts,CSHCY073,Churchyard Row,Southwark,Central,Local Street,1,531835.72,178782.79,51.492621,-0.10238549
CENCY138,Strategic counts,0,Black Prince Road (east of Gibson Street),Lambeth,Central,Local Street,1,530834.12,178564.43,51.490894,-0.11687664
CENCY139,Strategic counts,CGRCY040,The Mall,Westminster,Central,Local Street,1,529385.07,179898.72,51.503215,-0.13724722
CENCY140,Strategic counts,CGRCY049,Belvedere Road,Lambeth,Central,Local Street,1,530758.028,179946.75,51.503331,-0.11745905
CENCY141,Strategic counts,0,Petty France,Westminster,Central,Local Street,1,529465.94,179478.71,51.499422,-0.13624925
CENCY142,Strategic counts,CSHCY110,Birdcage Walk,Westminster,Central,Local Street,1,529649.63,179657.87,51.500989,-0.13353424
CENCY143,Strategic counts,CENCY199 & CSHCY109,Constitution Hill,Westminster,Central,Local Street,1,528783.394,179793.874,51.502409,-0.14595409
CENCY144,Strategic counts,0,Garrick Street,Westminster,Central,Local Street,1,530097.71,180856.17,51.511661,-0.1266417
CENCY145,Strategic counts,CGRCY034,Welbeck Street,Westminster,Central,Local Street,1,528504.52,181467.91,51.517516,-0.14936199
CENCY146,Strategic counts,CGRCY021,Crawford Street (west),Westminster,Central,Local Street,1,527510.892,181613.193,51.519053,-0.16362704
CENCY147,Strategic counts,0,Brook Street,Westminster,Central,Local Street,1,528724.48,180977.89,51.513063,-0.14637186
CENCY148,Strategic counts,CGRCY059,Lambs Conduit Street,Camden,Central,Local Street,1,530629.49,182016.56,51.521963,-0.11855027
CENCY149,Strategic counts,CGRCY082 & QWPCY001,Upper Ground,Lambeth,Central,Local Street,1,531041.96,180301.3,51.506456,-0.11325224
CENCY150,Strategic counts,0,Sumner Steet,Southwark,Central,Local Street,1,532047.89,180352.94,51.50668,-0.098746488
CENCY151,Strategic counts,CGRCY089 & QWPCY076,Hercules Road,Lambeth,Central,Local Street,1,531087.06,179377.67,51.498141,-0.11293288
CENCY152,Strategic counts,CGRCY090 & QWPCY003,Webber Street (east),Southwark,Central,Local Street,1,531865.85,179686.71,51.500737,-0.1016161
CENCY153,Strategic counts,0,Weston Street,Southwark,Central,Local Street,1,532978.94,179384.66,51.497763,-0.085704445
CENCY154,Strategic counts,CGRCY085 & QWPCY002,Cornwall Road (north),Lambeth,Central,Local Street,1,531198.02,180170.98,51.505242,-0.11104007
CENCY155,Strategic counts,CGRCY113,Jewry Street,City of London,Central,Local Street,1,533561.31,181089.45,51.512947,-0.076665711
CENCY156,Strategic counts,0,Carey Street,Camden,Central,Local Street,1,531036.43,181252.85,51.515003,-0.11297113
CENCY157,Strategic counts,CGRCY111,Appold Street,Hackney,Central,Local Street,1,533124.17,181878.82,51.520141,-0.082661722
CENCY158,Strategic counts,CGRCY096,Wood Street,City of London,Central,Local Street,1,532371.23,181588.46,51.517712,-0.093617143
CENCY159,Strategic counts,0,Lime Street,City of London,Central,Local Street,1,533115.72,180993.48,51.51219,-0.083125289
CENCY160,Strategic counts,0,Old Compton Street,Westminster,Central,Local Street,1,529759.68,181010.65,51.513123,-0.131453
CENCY161,Strategic counts,CGRCY079,Lloyd Baker Street,Islington,Central,Local Street,1,531016.57,182630.66,51.527391,-0.1127473
CENCY162,Strategic counts,0,Fitzroy Street,Camden,Central,Local Street,1,529259.72,181973.19,51.521891,-0.13830148
CENCY163,Strategic counts,0,Emery Hill Street,Westminster,Central,Local Street,1,529387.58,179029.75,51.495405,-0.13753682
CENCY164,Strategic counts,CGRCY045,Lambeth High Street,Lambeth,Central,Local Street,1,530633.08,178924.6,51.494175,-0.11963702
CENCY165,Strategic counts,0,Brushfield Street,Tower Hamlets,Central,Local Street,1,533617.1,181772.66,51.519072,-0.075600515
CENCY166,Strategic counts,QWPCY046,Trinity Street (east),Southwark,Central,Local Street,1,532589.54,179423.5,51.498205,-0.091290407
CENCY167,Strategic counts,0,Gordon Square,Camden,Central,Local Street,1,529730.01,182232.05,51.524111,-0.13142126
CENCY168,Strategic counts,0,Turnmill Street,Islington,Central,Local Street,1,531497.95,182031.19,51.521896,-0.10604095
CENCY169,Strategic counts,CGRCY048,Carlisle Street,Lambeth,Central,Local Street,1,530935.58,179369.29,51.498105,-0.11512431
CENCY170,Strategic counts,0,Roupell Street,Lambeth,Central,Local Street,1,531378.07,180109.15,51.504652,-0.10847078
CENCY171,Strategic counts,0,Lambeth Walk,Lambeth,Central,Local Street,1,531096.88,179113.95,51.495767,-0.11290129
CENCY172,Strategic counts,0,Temple Place,Westminster,Central,Local Street,1,530894.06,180798.82,51.510956,-0.11518478
CENCY173,Strategic counts,0,Horse Guards Avenue,Westminster,Central,Local Street,1,530281.97,180100.49,51.504825,-0.12427076
CENCY174,Strategic counts,0,Deanery Street,Westminster,Central,Local Street,1,528354.52,180290.53,51.506973,-0.15195073
CENCY175,Strategic counts,0,Stanhope Gate,Westminster,Central,Local Street,1,528412.17,180260.51,51.50669,-0.1511264
CENCY176,Strategic counts,0,Park Street,Westminster,Central,Local Street,1,528183.19,180631.86,51.510076,-0.15428944
CENCY177,Strategic counts,0,Marlborough Road,Westminster,Central,Local Street,1,529371.48,180110.54,51.505124,-0.13737113
CENCY178,Strategic counts,0,Carlisle Place,Westminster,Central,Local Street,1,529089.89,179114.15,51.496237,-0.14179609
CENCY179,Strategic counts,0,Threadneedle Street,City of London,Central,Local Street,1,532981.73,181220.24,51.514261,-0.084969598
CENCY180,Strategic counts,0,Myddelton Street,Islington,Central,Local Street,1,531508.24,182661.37,51.527555,-0.10564753
CENCY181,Strategic counts,0,Greville Street,Camden,Central,Local Street,1,531460.75,181769.87,51.519551,-0.10667159
CENCY182,Strategic counts,CSHCY125,Saffron Hill,Camden,Central,Local Street,1,531384.41,181984.02,51.5215,-0.10768624
CENCY183,Strategic counts,0,Arundel Street,Westminster,Central,Local Street,1,530958.5,180938.75,51.512199,-0.11421111
CENCY184,Strategic counts,0,Great Ormond Street,Camden,Central,Local Street,1,530477.3,181984.09,51.52171,-0.12075172
CENCY185,Strategic counts,CGRCY017,Great Cumberland Place,Westminster,Central,Local Street,1,527786.24,181182.5,51.515118,-0.15980746
CENCY186,Strategic counts,0,Montagu Place,Westminster,Central,Local Street,1,527841.4,181618.94,51.519024,-0.15885727
CENCY187,Strategic counts,0,Princeton Street,Camden,Central,Local Street,1,530695.72,181751.53,51.519566,-0.11769772
CENCY188,Strategic counts,0,Eagle Street,Camden,Central,Local Street,1,530689.09,181653.04,51.518687,-0.11782046
CENCY189,Strategic counts,CGRCY067,Berners Street,Westminster,Central,Local Street,1,529367.46,181486.51,51.51749,-0.13692431
CENCY190,Strategic counts,0,Hastings Street,Camden,Central,Local Street,1,530051.04,182644.04,51.52774,-0.12664496
CENCY191,Strategic counts,CGRCY032,Devonshire Street,Westminster,Central,Local Street,1,528490.3,181905.47,51.521456,-0.1494041
CENCY192,Strategic counts,0,Duke Street,Westminster,Central,Local Street,1,528392.45,181033.55,51.513641,-0.1511332
CENCY193,Strategic counts,0,Temple Avenue,City of London,Central,Local Street,1,531389.8,180859.27,51.511389,-0.1080332
CENCY194,Strategic counts,0,Trinity Square,City of London,Central,Local Street,1,533455.08,180728.09,51.509728,-0.078328859
CENCY195,Strategic counts,0,Sullivan Row,Lambeth,Central,Local Street,1,531514.85,178914.24,51.493881,-0.10695745
CENCY196,Strategic counts,0,Poland Street,Westminster,Central,Local Street,1,529334.25,181236.54,51.515251,-0.13749129
CENCY197,Strategic counts,0,Juxton Street,Lambeth,Central,Local Street,1,530900.04,178922.47,51.494096,-0.11579389
CENCY198,Strategic counts,0,Riverside Walk (Albert Embankment),Lambeth,Central,MVF,1,530549.98,179239.16,51.497026,-0.12072991
CENCY199,Strategic counts,CENCY143,Green Park (cycle lane only),Westminster,Central,MVF,0,528564.26,179803.64,51.502549,-0.14910391
CENCY200,Strategic counts,0,Marshalsea Road,Southwark,Central,A Road,1,532297.99,179839.89,51.502011,-0.095338656
CENCY201,Strategic counts,CSHCY044,Tooley Street (east),Southwark,Central,A Road,1,533425.73,179999.56,51.503184,-0.079036444
CENCY202,Strategic counts,CSHCY074 & QWPCY048,Southwark Bridge Road (south),Southwark,Central,A Road,1,531976.071,179380.862,51.497962,-0.10013223
CENCY203,Strategic counts,CSHCY116,Upper Thames Street (east of Southwark Bridge),City of London,Central,A Road,1,532682.9,180753.71,51.510135,-0.089451578
CENCY204,Strategic counts,CSHCY118,St. George's Road,Southwark,Central,A Road,1,531541.26,179240.8,51.496805,-0.10644735
CENCY205,Strategic counts,CSHCY119,Lambeth Road,Southwark,Central,A Road,1,531612.85,179403.09,51.498253,-0.1053644
CENCY206,Strategic counts,CSHCY126,Warner Street,Islington,Central,Local Street,1,531236.77,182156.33,51.52308,-0.10975419
CENCY207,Strategic counts,CSHCY127,Pakenham Street,Camden,Central,Local Street,1,530881.71,182497.52,51.526227,-0.11474162
CENCY208,Strategic counts,CSHCY130,Princess Street,Southwark,Central,MVF,1,531845.63,179169.79,51.496096,-0.10209709
CENCY209,Strategic counts,CSHCY139,Sidmouth Square,Camden,Central,Minor Road,1,530554.1031,182581.016,51.527058,-0.11942149
CENCY701,Strategic counts,0,Regent Street,Westminster,Central,A Road,1,529632.84,180463.33,51.508236,-0.13348306
CENCY702,Strategic counts,0,Haymarket,Westminster,Central,A Road,1,529736.03,180515.52,51.50868,-0.13196624
CFRCY002,Cycleway counts,0,Lea Bridge Road,Hackney,Inner,0,0,535100,186281,51.559238,-0.052510558
CFRCY003,Cycleway counts,0,Downs Road,Hackney,Inner,0,0,534741,185876,51.555685,-0.057841154
CFRCY004,Cycleway counts,0,Downs Park Road,Hackney,Inner,0,0,534247,185423,51.551732,-0.065135163
CFRCY005,Cycleway counts,0,Sandringham Road,Hackney,Inner,0,0,533677,185189,51.549764,-0.073440165
CFRCY006,Cycleway counts,0,Frampton Park Road,Hackney,Inner,0,0,535228,184247,51.54093,-0.051446427
CFRCY007,Cycleway counts,0,Grove Road (Victoria Park),Tower Hamlets,Inner,0,0,535884,183566,51.534653,-0.042255659
CFRCY008,Cycleway counts,0,Grove Road (north of Thoydon Rd),Tower Hamlets,Inner,0,0,536089,183062,51.530074,-0.039496488
CFRCY009,Cycleway counts,0,Burdett Road (south of Hamlets Way),Tower Hamlets,Inner,0,0,536478,182287,51.523016,-0.034192095
CFRCY010,Cycleway counts,INNCY003,Burdett Road (south of Limehouse Cut),Tower Hamlets,Inner,A Road,0,536945,181263,51.513702,-0.027862563
CFRCY011,Cycleway counts,0,West India Dock Road,Tower Hamlets,Inner,0,0,536997,180953,51.510903,-0.027234018
CFRCY012,Cycleway counts,0,Riverdene Road,Redbridge,Outer,0,0,543505,186109,51.555619,0.068583017
CFRCY013,Cycleway counts,0,Uphall Road,Redbridge,Outer,0,0,543833,185147,51.546892,0.072917883
CFRCY014,Cycleway counts,0,Wakering Road,Barking & Dagenham,Outer,0,0,544446,184380,51.539843,0.081437557
